ticker,name,nav,navUnit,navChange,navChange1w,navChange1m,navChange3m,navChange6m,navChange9m,navChangeYtd,navChange1y
515000,华宝科技ETF,1.706,人民币,-1.08%,-1.98%,-4.54%,-3.58%,-3.35%,-0.51%,-3.57%,-3.15%
516050,工银科技龙头,0.879,人民币,-2.10%,-3.83%,-8.95%,-7.65%,-7.27%,--,--,--
513060,博时恒生医疗,0.9256,人民币,-1.05%,-0.12%,-9.06%,-23.46%,--,--,--,--
510810,上海国企ETF,0.8825,人民币,1.26%,3.73%,10.99%,-2.14%,-3.74%,-11.25%,-5.63%,-7.43%
512290,国泰生物医药ETF,1.7592,人民币,-1.40%,-2.81%,-4.26%,-9.15%,-4.68%,-3.43%,-4.71%,-10.31%
159899,招商软件ETF,0.9082,人民币,-0.74%,-5.36%,-5.18%,--,--,--,--,--
515230,国泰软件ETF,0.9715,人民币,-0.76%,-5.14%,-5.55%,-6.29%,-0.64%,--,--,--
513700,鹏华香港医药,0.8829,人民币,0.05%,0.67%,-9.07%,--,--,--,--,--
159807,易基科技ETF,0.7625,人民币,-2.31%,-5.21%,-11.82%,-11.96%,-7.83%,6.70%,-7.80%,3.83%
516500,华夏生物ETF,1.0931,人民币,-3.10%,-2.91%,-8.77%,-12.81%,--,--,--,--
159849,招商生物ETF,0.902,人民币,-3.95%,-3.53%,-10.79%,-18.85%,-3.24%,--,--,--
516930,民生生科ETF,0.9222,人民币,-3.94%,-3.47%,--,--,--,--,--,--
159837,易基生物科技,0.8601,人民币,-4.23%,-3.77%,-11.50%,-21.39%,-7.75%,--,--,--
510200,汇安上证证券,1.2803,人民币,1.23%,1.98%,11.65%,7.36%,10.33%,-2.74%,0.02%,-4.18%
517800,方正智能50ETF,0.9802,人民币,-1.14%,-2.06%,--,--,--,--,--,--
159940,广发全指金融ETF,1.0528,人民币,1.16%,1.38%,7.50%,-7.04%,-7.25%,-11.17%,-6.44%,-5.98%
159978,建信湾区ETF,1.1905,人民币,0.09%,-1.52%,-0.70%,-8.66%,-10.61%,-6.71%,-7.25%,-2.76%
159938,广发医药ETF,1.9257,人民币,-1.17%,-2.00%,-3.99%,-9.34%,-4.90%,-0.97%,-4.52%,-6.22%
510230,金融ETF,1.0872,人民币,0.89%,1.75%,7.16%,-6.90%,-7.67%,-11.64%,-6.88%,-5.42%
510690,兴业180金融ETF,1.0651,人民币,0.85%,1.71%,6.80%,-7.52%,-8.42%,-12.43%,-7.67%,-6.59%
510660,华夏医药ETF,3.1603,人民币,-0.67%,-1.50%,-3.07%,-4.25%,-0.83%,2.28%,-0.83%,-0.18%
510650,华夏金融ETF,2.1056,人民币,0.40%,0.93%,2.90%,-1.82%,-2.16%,-2.99%,-0.48%,1.61%
159983,华夏大湾区100ETF,1.33,人民币,0.05%,-1.26%,-0.07%,-5.79%,-7.61%,-3.38%,-4.96%,1.50%
159984,南方湾创ETF,1.2652,人民币,0.07%,-1.30%,0.43%,-7.91%,-9.55%,-4.85%,-6.44%,1.07%
159976,工银湾创ETF,1.2366,人民币,0.06%,-1.33%,0.40%,-8.06%,-10.02%,-5.77%,-7.25%,-1.02%
159979,广发湾创100ETF,1.1981,人民币,0.07%,-1.34%,0.44%,-8.66%,-10.35%,-5.88%,-7.48%,-0.89%
159929,添富中证医药,2.1386,人民币,-1.24%,-2.16%,-4.39%,-9.33%,-5.40%,-1.10%,-4.62%,-6.04%
512610,嘉实医药ETF,1.9649,人民币,-1.35%,-2.31%,-4.79%,-10.31%,-6.25%,-1.78%,-5.51%,-7.28%
159933,国投金融ETF,2.4456,人民币,0.47%,0.57%,3.18%,-2.60%,-2.84%,-3.63%,-1.89%,0.18%
159898,招商器械ETF,0.8013,人民币,-3.09%,-6.40%,-13.25%,-24.62%,--,--,--,--
159883,永赢医疗器械ETF,0.8219,人民币,-3.18%,-6.61%,-14.25%,-26.71%,--,--,--,--
512640,嘉实地产ETF,2.0502,人民币,0.59%,0.69%,3.73%,-3.81%,-4.24%,-5.77%,-3.65%,-2.17%
159931,添富金融地产,1.6741,人民币,0.72%,0.86%,4.55%,-5.07%,-5.97%,-8.53%,-5.51%,-4.80%
512170,中证医疗ETF,0.7012,人民币,-4.46%,-8.41%,-19.64%,-33.61%,-18.90%,1.23%,-15.33%,-9.16%
